tofpet_id,channel,qdc_min_intg_t,qdc_max_intg_t
0,0,25,25
0,1,24,24
0,2,25,25
0,3,29,29
0,4,29,28
0,5,26,25
0,6,26,26
0,7,23,23
0,8,29,29
0,9,26,26
0,10,25,25
0,11,26,26
0,12,24,24
0,13,28,28
0,14,28,27
0,15,26,25
0,16,23,23
0,17,25,25
0,18,24,24
0,19,27,27
0,20,27,27
0,21,28,27
0,22,29,29
0,23,28,27
0,24,26,25
0,25,25,25
0,26,24,24
0,27,24,24
0,28,26,25
0,29,27,27
0,30,28,28
0,31,27,27
0,32,27,27
0,33,28,28
0,34,25,24
0,35,27,27
0,36,28,28
0,37,25,25
0,38,25,25
0,39,22,22
0,40,27,26
0,41,28,28
0,42,27,27
0,43,23,23
0,44,25,25
0,45,25,25
0,46,28,27
0,47,25,25
0,48,27,27
0,49,24,23
0,50,28,28
0,51,25,25
0,52,26,26
0,53,26,26
0,54,29,29
0,55,26,26
0,56,25,25
0,57,28,27
0,58,27,26
0,59,24,24
0,60,25,25
0,62,25,25
0,63,25,25
1,0,25,24
1,1,26,26
1,2,25,25
1,3,27,26
1,4,27,27
1,5,25,25
1,6,24,24
1,7,23,23
1,8,24,24
1,9,27,27
1,10,26,25
1,11,27,26
1,12,31,31
1,13,26,26
1,14,25,25
1,15,25,24
1,16,27,27
1,17,25,25
1,18,28,28
1,19,23,23
1,20,26,26
1,21,30,29
1,22,26,26
1,23,27,27
1,24,27,27
1,25,29,29
1,26,28,28
1,27,24,24
1,28,27,27
1,29,27,27
1,30,24,24
1,31,22,22
1,32,25,25
1,33,27,27
1,34,27,27
1,35,26,26
1,36,27,27
1,37,25,25
1,38,24,24
1,39,25,24
1,40,26,26
1,41,24,23
1,42,25,25
1,43,27,27
1,44,26,26
1,45,25,25
1,46,27,27
1,47,26,25
1,48,26,25
1,49,29,29
1,50,24,24
1,51,27,27
1,52,27,27
1,53,24,23
1,54,25,24
1,55,24,24
1,56,26,26
1,57,27,27
1,58,24,24
1,59,26,25
1,60,24,24
1,61,23,23
1,62,25,25
1,63,23,23
