tofpet_id,channel,bl_t,bl_e
0,0,53,5
0,1,49,6
0,2,52,6
0,3,52,5
0,4,48,5
0,5,56,5
0,6,57,6
0,7,54,5
0,8,51,5
0,9,54,5
0,10,49,5
0,11,52,5
0,12,55,6
0,13,56,5
0,14,49,6
0,15,52,5
0,16,49,5
0,17,49,6
0,18,53,6
0,19,51,5
0,20,55,6
0,21,50,6
0,22,53,5
0,23,57,5
0,24,53,6
0,25,53,5
0,26,52,6
0,27,52,5
0,28,51,6
0,29,50,5
0,30,52,5
0,31,52,6
0,32,56,5
0,33,53,6
0,34,50,6
0,35,53,6
0,36,55,6
0,37,56,5
0,38,53,5
0,39,52,5
0,40,55,5
0,41,56,6
0,42,50,6
0,43,54,6
0,44,55,5
0,45,55,6
0,46,52,5
0,47,48,6
0,48,54,6
0,49,51,6
0,50,56,5
0,51,52,6
0,52,49,5
0,53,52,5
0,54,53,6
0,55,57,5
0,56,51,6
0,57,54,6
0,58,53,6
0,59,55,5
0,60,57,6
0,61,36,5
0,62,56,5
0,63,51,6
1,0,52,6
1,1,50,5
1,2,51,5
1,3,53,6
1,4,52,6
1,5,52,5
1,6,54,6
1,7,50,6
1,8,50,5
1,9,51,6
1,10,53,6
1,11,50,6
1,12,55,5
1,13,52,6
1,14,53,6
1,15,51,6
1,16,51,5
1,17,55,6
1,18,54,6
1,19,53,5
1,20,53,5
1,21,57,6
1,22,54,5
1,23,53,5
1,24,52,6
1,25,56,5
1,26,49,6
1,27,51,5
1,28,50,5
1,29,51,6
1,30,55,5
1,31,54,6
1,32,54,5
1,33,53,6
1,34,52,5
1,35,54,6
1,36,50,5
1,37,51,5
1,38,53,5
1,39,54,5
1,40,53,6
1,41,49,6
1,42,53,6
1,43,51,6
1,44,51,5
1,45,52,6
1,46,55,5
1,47,54,5
1,48,50,6
1,49,48,6
1,50,52,5
1,51,48,6
1,52,53,5
1,53,51,6
1,54,49,5
1,55,58,5
1,56,51,6
1,57,55,6
1,58,53,6
1,59,51,5
1,60,54,6
1,61,52,5
1,62,52,5
1,63,54,6
