tofpet_id,channel,thr_t1,thr_t2,thr_e
0,0,25,7,7
0,1,25,7,7
0,2,25,7,7
0,3,25,7,7
0,4,25,7,7
0,5,25,7,7
0,6,25,7,7
0,7,25,7,7
0,8,25,7,7
0,9,25,7,7
0,10,25,7,7
0,11,25,7,7
0,12,25,7,7
0,13,25,7,7
0,14,25,7,7
0,15,25,7,7
0,16,25,7,7
0,17,25,7,7
0,18,25,7,7
0,19,25,7,7
0,20,25,7,7
0,21,25,7,7
0,22,25,7,7
0,23,25,7,7
0,24,25,7,7
0,25,25,7,7
0,26,25,7,7
0,27,25,7,7
0,28,25,7,7
0,29,25,7,7
0,30,25,7,7
0,31,25,7,7
0,32,25,7,7
0,33,25,7,7
0,34,25,7,7
0,35,25,7,7
0,36,25,7,7
0,37,25,7,7
0,38,25,7,7
0,39,25,7,7
0,40,25,7,7
0,41,25,7,7
0,42,25,7,7
0,43,25,7,7
0,44,25,7,7
0,45,25,7,7
0,46,25,7,7
0,47,25,7,7
0,48,25,7,7
0,49,25,7,7
0,50,25,7,7
0,51,25,7,7
0,52,25,7,7
0,53,25,7,7
0,54,25,7,7
0,55,25,7,7
0,56,25,7,7
0,57,25,7,7
0,58,25,7,7
0,59,25,7,7
0,60,25,7,7
0,61,25,7,7
0,62,25,7,7
0,63,25,7,7
1,0,25,7,7
1,1,25,7,7
1,2,25,7,7
1,3,25,7,7
1,4,25,7,7
1,5,25,7,7
1,6,25,7,7
1,7,25,7,7
1,8,25,7,7
1,9,25,7,7
1,10,25,7,7
1,11,25,7,7
1,12,25,7,7
1,13,25,7,7
1,14,25,7,7
1,15,25,7,7
1,16,25,7,7
1,17,25,7,7
1,18,25,7,7
1,19,25,7,7
1,20,25,7,7
1,21,25,7,7
1,22,25,7,7
1,23,25,7,7
1,24,25,7,7
1,25,25,7,7
1,26,25,7,7
1,27,25,7,7
1,28,25,7,7
1,29,25,7,7
1,30,25,7,7
1,31,25,7,7
1,32,25,7,7
1,33,25,7,7
1,34,25,7,7
1,35,25,7,7
1,36,25,7,7
1,37,25,7,7
1,38,25,7,7
1,39,25,7,7
1,40,25,7,7
1,41,25,7,7
1,42,25,7,7
1,43,25,7,7
1,44,25,7,7
1,45,25,7,7
1,46,25,7,7
1,47,25,7,7
1,48,25,7,7
1,49,25,7,7
1,50,25,7,7
1,51,25,7,7
1,52,25,7,7
1,53,25,7,7
1,54,25,7,7
1,55,25,7,7
1,56,25,7,7
1,57,25,7,7
1,58,25,7,7
1,59,25,7,7
1,60,25,7,7
1,61,25,7,7
1,62,25,7,7
1,63,25,7,7
