delay_mean,delay_stdev,num,phase
4.74306964019862e-08,7.14061180146848e-11,500.0,0
4.75077124249628e-08,6.74995475207829e-11,500.0,1
4.76266473555477e-08,6.74722632589032e-11,500.0,2
4.77482757669552e-08,6.92324228108721e-11,500.0,3
4.78682430694792e-08,6.80058407220819e-11,500.0,4
4.79839483514985e-08,6.77642664434154e-11,500.0,5
4.81177860060038e-08,6.85316555963678e-11,500.0,6
4.82437362995017e-08,6.82274896092245e-11,500.0,7
4.83433861528037e-08,6.91502586594788e-11,500.0,8
4.84419812116597e-08,7.32008049722667e-11,500.0,9
4.85666574195384e-08,7.01699030645538e-11,500.0,10
4.86783425169788e-08,6.91759195857131e-11,500.0,11
4.88087067036173e-08,6.94868056660816e-11,500.0,12
4.89050221568129e-08,6.74789885557809e-11,500.0,13
4.89938964614181e-08,7.02722797562408e-11,500.0,14
4.90092190374175e-08,7.02512054208389e-11,500.0,15
4.90951480911409e-08,7.15628956831779e-11,500.0,16
4.92151409889247e-08,6.81563633024031e-11,500.0,17
4.93401436679202e-08,6.91643029090729e-11,500.0,18
4.94474766110298e-08,7.03902407957816e-11,500.0,19
4.95628933463039e-08,7.05680301694085e-11,500.0,20
4.97065490047256e-08,6.87453088878093e-11,500.0,21
4.98281989620707e-08,7.30035085063128e-11,500.0,22
4.99585293987236e-08,6.59573452360862e-11,500.0,23
5.00458925798903e-08,7.06630667464327e-11,500.0,24
5.01623834201481e-08,6.87029733160887e-11,500.0,25
5.02874501902725e-08,6.93479654462602e-11,500.0,26
5.04038187047436e-08,6.91299804111315e-11,500.0,27
5.04844707852456e-08,6.75872447776733e-11,500.0,28
5.05888048729317e-08,6.93803350495589e-11,500.0,29
5.05643445247094e-08,7.10920204029094e-11,500.0,30
5.06828773542171e-08,7.23824108646333e-11,500.0,31
5.08068400576199e-08,6.42585514357428e-11,500.0,32
5.09275479170053e-08,6.91932491287281e-11,500.0,33
5.10339238831075e-08,7.09658797573767e-11,500.0,34
5.11337858594673e-08,6.77916751671277e-11,500.0,35
5.12727343961358e-08,7.10373344051997e-11,500.0,36
5.13909873928736e-08,6.76052237442e-11,500.0,37
5.15113918164159e-08,7.15356675834916e-11,500.0,38
5.16311089299164e-08,7.32931865781845e-11,500.0,39
5.1737485160396e-08,6.77074422312866e-11,500.0,40
5.18530513499263e-08,6.7816697124941e-11,500.0,41
5.19737451039331e-08,7.13127077189307e-11,500.0,42
5.20414689056713e-08,6.85937901436832e-11,500.0,43
5.21332660542898e-08,7.01477859627665e-11,500.0,44
5.21242604384011e-08,6.43395691132277e-11,500.0,45
5.2214054011905e-08,6.98405676887893e-11,500.0,46
5.23660101243767e-08,7.02104998611157e-11,500.0,47
5.24984874400244e-08,7.28679205471704e-11,500.0,48
5.26100142800278e-08,7.12583592390363e-11,500.0,49
5.27015209375865e-08,7.10322980147474e-11,500.0,50
5.28279555364891e-08,6.65901514666072e-11,500.0,51
5.29425605410083e-08,7.2081667010488e-11,500.0,52
5.30579013957345e-08,6.74790339001655e-11,500.0,53
5.31710406060735e-08,6.91641943532651e-11,500.0,54
5.33030703622028e-08,6.80063926459516e-11,500.0,55
5.34064796456851e-08,6.98635052825351e-11,500.0,56
5.35212505702097e-08,6.60077274735121e-11,500.0,57
5.36046178806573e-08,6.66797285528111e-11,500.0,58
5.36801262284974e-08,6.94408976569676e-11,500.0,59
5.36598405193614e-08,6.98979990876268e-11,500.0,60
5.37583251763895e-08,6.99434740901992e-11,500.0,61
5.38741697564033e-08,6.84701907553366e-11,500.0,62
5.40269943069611e-08,6.97750111304123e-11,500.0,63
5.41298710326931e-08,6.82468444919532e-11,500.0,64
5.42266940507496e-08,7.21294947268898e-11,500.0,65
5.43460279090331e-08,6.8868871555907e-11,500.0,66
5.44507619647798e-08,7.18572947471373e-11,500.0,67
5.45743087706837e-08,6.79590709089394e-11,500.0,68
5.46862080155276e-08,7.05564643259184e-11,500.0,69
5.48132482720805e-08,6.97497723848537e-11,500.0,70
5.49514111518078e-08,6.85839744965275e-11,500.0,71
5.50642749857287e-08,6.63788713064018e-11,500.0,72
5.5143326406322e-08,7.13853375231772e-11,500.0,73
5.52340765489341e-08,7.16780794735453e-11,500.0,74
5.52035982528935e-08,6.80567594941614e-11,500.0,75
5.52880771284363e-08,7.01509717632895e-11,500.0,76
5.54233981802264e-08,6.92132719516647e-11,500.0,77
5.55414924570357e-08,7.12987851307217e-11,500.0,78
5.56873007588571e-08,7.11172641925851e-11,500.0,79
5.57840055690709e-08,6.63566293460838e-11,500.0,80
5.59086816577092e-08,7.03241534850469e-11,500.0,81
5.60081932330412e-08,7.41367750792585e-11,500.0,82
5.61186917969241e-08,6.93949305343373e-11,500.0,83
5.62306318348844e-08,6.84441175794749e-11,500.0,84
5.63602168615882e-08,7.15301850259816e-11,500.0,85
5.64971218767444e-08,6.78478778737224e-11,500.0,86
5.66378013590175e-08,6.88245752288083e-11,500.0,87
5.67094159467381e-08,6.44417073122235e-11,500.0,88
5.67968547446125e-08,7.17417250033552e-11,500.0,89
5.67695289433784e-08,7.00804259261594e-11,500.0,90
5.68508274404766e-08,7.15058590214659e-11,500.0,91
5.69697070646802e-08,7.22458187286663e-11,500.0,92
5.71061142327533e-08,6.97331062040761e-11,500.0,93
5.72147093084094e-08,7.18631707593405e-11,500.0,94
5.73463854215096e-08,6.94272608960378e-11,500.0,95
5.74696638051459e-08,6.68102382469665e-11,500.0,96
5.75804459643027e-08,7.51456760443373e-11,500.0,97
5.76756844468709e-08,7.083105281541e-11,500.0,98
5.77820279051948e-08,7.1109157728754e-11,500.0,99
5.79139655335473e-08,6.95853494918264e-11,500.0,100
5.80513506571704e-08,6.86841754397228e-11,500.0,101
5.81862362108209e-08,6.90597888560262e-11,500.0,102
5.82836944191499e-08,7.06378493576394e-11,500.0,103
5.83633179576898e-08,7.11908315506584e-11,500.0,104
5.83403580114505e-08,7.14017054469727e-11,500.0,105
5.8416644748241e-08,7.17479300176102e-11,500.0,106
5.85305150610403e-08,7.14280239412777e-11,500.0,107
5.86601150947841e-08,6.89457533396048e-11,500.0,108
5.8788058919052e-08,7.1256815818505e-11,500.0,109
5.88890876422707e-08,6.98776725890046e-11,500.0,110
5.9050993843981e-08,7.13222262301311e-11,500.0,111
5.91620099982525e-08,6.50340330055286e-11,500.0,112
5.92685802039142e-08,7.05314821928365e-11,500.0,113
5.93693881498099e-08,6.74085940993002e-11,500.0,114
5.94944162223051e-08,6.78978135955661e-11,500.0,115
5.96288653151965e-08,6.97243856243524e-11,500.0,116
5.97682005815618e-08,6.92099226157185e-11,500.0,117
5.98650155227454e-08,7.2897937957908e-11,500.0,118
5.99721890479545e-08,6.73616926691893e-11,500.0,119
5.99386231222112e-08,6.78775357247042e-11,500.0,120
6.0018279488116e-08,7.10853483515614e-11,500.0,121
6.01478482778393e-08,7.03793461895541e-11,500.0,122
6.02570076863034e-08,7.18824851411745e-11,500.0,123
6.0371440686767e-08,6.98323559073305e-11,500.0,124
6.04813484054252e-08,6.61979076476549e-11,500.0,125
6.06056322918002e-08,6.83774841229609e-11,500.0,126
6.07469420982543e-08,7.14039654851464e-11,500.0,127
6.08506954902595e-08,7.32782465399481e-11,500.0,128
6.09506725690578e-08,7.18490079840576e-11,500.0,129
6.10683969906483e-08,6.58531312789764e-11,500.0,130
6.11873425276838e-08,7.03796598474828e-11,500.0,131
6.13316127831568e-08,7.08427581701268e-11,500.0,132
6.1419881822576e-08,7.06334624449927e-11,500.0,133
6.15350924168967e-08,6.72057534402296e-11,500.0,134
6.15217439104892e-08,6.75699812098258e-11,500.0,135
6.1591029481984e-08,6.96312246077369e-11,500.0,136
6.17099781336148e-08,7.28671216048176e-11,500.0,137
6.18323380365513e-08,7.24214758451852e-11,500.0,138
